A 2	DE-A2
Ce 6	DE-Ce6
Ce 7	DE-Ce7
Ce 8	DE-Ce8
Cg 2	DE-Cg2
CH 100	DE-Ch100
CH 101	DE-Ch101
CH 102	DE-Ch102
CH 103	DE-Ch103
CH 18	DE-Ch18
CH 1	DE-Ch1
CH 50	DE-Ch50
CH 5	DE-Ch5
CH 63	DE-Ch63
CH 76	DE-Ch76
CH 77	DE-Ch77
CH 78	DE-Ch78
CH 85	DE-Ch85
CH 86	DE-Ch86
CH 98	DE-Ch98
Cl 40	DE-Cl40
Cl 45	DE-Cl45
Cla 1	DE-Cla1
Clo 1	DE-Clo1
Co 10	DE-Co10
Co 15	DE-Co15
Co 1	DE-Co1
Co 22	DE-Co22
Co 2	DE-Co2
Cra 1	DE-Cra1
D 114	DE-D114
D 115	DE-D115
D 120	DE-D120
D 122	DE-D122
D 123	DE-D123
D 13	DE-D13
D 141	DE-D141
D 142	DE-D142
D 143	DE-D143
D 145	DE-D145
D 15	DE-D15
D 161	DE-D161
D 163	DE-D163
D 164	DE-D164
D 165	DE-D165
D 167	DE-D167
D 170	DE-D170
D 172	DE-D172
D 174	DE-D174
D 182	DE-D182
D 188	DE-D188
D 193	DE-D193
D 206	DE-D206
D 207	DE-D207
D 208	DE-D208
D 209	DE-D209
D 210	DE-D210
D 267	DE-D267
Db 5	DE-Db5
Db 7	DE-Db7
De 12	DE-De12
De 15	DE-De15
De 16	DE-De16
De 3	DE-De3
De 5	DE-De5
De 6	DE-De6
De 7	DE-De7
Det 2	DE-Det2
Det 3	DE-Det3
Di 1	DE-Di1
Dil 1	DE-Dil1
Dm 11	DE-Dm11
Dm 13	DE-Dm13
Dm 15	DE-Dm15
Dm 16	DE-Dm16
Dm 19	DE-Dm19
Dm 1	DE-Dm1
Dm 20	DE-Dm20
Dm 21	DE-Dm21
Dm 9	DE-Dm9
Drü 1	DE-Drue1
Dü 18	DE-Due18
Dü 19	DE-Due19
Dü 20	DE-287
Dü 28	DE-B1550
Dü 29	DE-Due29
Dü 2	DE-Due2
Dü 40	DE-Due40
Dü 48	DE-Due48
Dü 51	DE-Bo133
Dü 55	DE-Due55
Dü 57	DE-Due57
Dü 58	DE-Due58
Dü 59	DE-Due59
Dü 5	DE-Due5
Dü 60	DE-Due60
Dü 61	DE-Due61
Dü 62	DE-Due62
Dü 63	DE-Due63
Dü 64	DE-Due64
Dü 65	DE-Due65
Dü 66	DE-Due66
Dü 67	DE-Due67
Dü 68	DE-Due68
Dü 69	DE-Due69
Dü 6	DE-Due6
Dü 71	DE-Due71
Dü 72	DE-Due72
Dü 73	DE-Due73
Dü 74	DE-Due74
Dü 8	DE-Due8
E 10	DE-E10
E 12	DE-E12
E 13	DE-E13
E 14	DE-E14
E 1	DE-Bm3
E 2	DE-E2
E 3	DE-E3
E 8	DE-E8
E 9	DE-E9
Eb 1	DE-Eb1
Ef 10	DE-Ef10
Ef 11	DE-Ef11
Ef 14	DE-Ef14
Ef 21	DE-Ef21
Ef 27	DE-Ef27
Ef 28	DE-Ef28
Ef 29	DE-Ef29
Ei 4	DE-Ei4
Ei 5	DE-Ei5
Ei 6	DE-Ei6
Eis 1	DE-Eis1
EM 2	DE-Em2
Er 8	DE-Er8
Et 1	DE-Et1
Eus 2	DE-Eus2
Ex 1	DE-Ex1
Fl 3	DE-Fl3
Fli 1	DE-Fli1
Freis 2	DE-Freis2
Frey 1	DE-Frey1
Fth 2	DE-Fth2
G 10	DE-G10
G 11	DE-G11
G 16	DE-G16
Ga 13	DE-Ga13
Ga 18	DE-Ga18
Ga 20	DE-Ga20
Ga 6	DE-Ga6
Gad 1	DE-Gad1
Gai 1	DE-Gai1
Gat 1	DE-Gat1
Gen 2	DE-Gen2
Gen 3	DE-Gen3
Gen 4	DE-Gen4
Ger 1	DE-Ger1
Gk 1	DE-Gk1
Gn 1	
Gö 116	DE-Goe116
Gö 121	DE-Goe121
Gö 134	DE-Goe134
Gö 145	DE-Goe145
Gö 146	DE-Goe146
Gö 161	DE-Goe161
Gö 162	DE-Goe162
Gö 164	DE-Goe164
Gö 168	DE-Goe168
Gö 169	DE-Goe169
Gö 69	DE-Goe69
Gp 1	DE-Gp1
Gr 104	DE-Gr104
Gr 105	DE-Gr105
Gr 61	DE-Gr61
Gr 70	DE-Gr70
Gr 87	DE-Gr87
Grv 1	DE-Grv1
Gs 3	DE-Gs3
Gs 5	DE-Gs5
Gt 1	DE-Gt1
Gu 2	DE-Gu2
Gun 1	DE-Gun1
Gz 1	DE-Gz1
Gz 5	DE-Gz5
Gz 6	DE-Gz6
H 103	DE-H103
H 105	DE-H105
H 107	DE-H107
H 108	DE-H108
H 10	DE-H10
H 11	DE-H11
H 123	DE-H123
H 13	DE-H13
H 140	DE-H140
H 144	DE-H144
H 151	DE-H151
H 153	DE-H153
H 154	DE-H154
H 155	DE-H155
H 16	DE-H16
H 184	DE-H184
H 188	DE-H188
H 189	DE-H189
H 192	DE-H192
H 193	DE-H193
H 195	DE-H195
H 197	DE-H197
H 199	DE-H199
H 200	DE-H200
H 203	DE-H203
H 205	DE-H205
H 20	DE-H20
H 210	DE-H210
H 213	DE-H224
H 216	DE-H216
H 220	DE-H220
H 221	DE-H221
H 222	DE-H222
H 223	DE-H223
H 224	DE-H224
H 227	DE-H227
H 22	DE-H22
H 23	DE-H23
H 250	DE-H250
H 253	DE-H253
H 256	DE-H256
H 260	DE-H260
H 268	DE-H268
H 26	DE-18-26
H 279	DE-H279
H 27	DE-H27
H 2	DE-H2
H 30	DE-H30
H 351	DE-H351
H 353	DE-H353
H 354	DE-H354
H 357	DE-H357
H 358	DE-H358
H 359	DE-H359
H 360	DE-H360
H 361	DE-H361
H 362	DE-H362
H 363	DE-H363
H 364	DE-H364
H 365	DE-H365
H 366	DE-H366
H 367	DE-H367
H 38	DE-H38
H 3	DE-206H
H 42	DE-H42
H 46	DE-H46
H 49	DE-H49
H 50	DE-H50
H 5	DE-H5
H 66	DE-H66
H 77	DE-H77
H 8	DE-H8
H 90	DE-H90
H 99	DE-H99
Ha 101	DE-Ha101
Ha 103	DE-Ha103
Ha 115	DE-Ha115
Ha 116	DE-Ha116
Ha 117	DE-Ha117
Ha 118	DE-Ha118
Ha 119	DE-Ha119
Ha 125	DE-Ha125
Ha 131	DE-Ha131
Ha 139	DE-Ha139
Ha 151	DE-Ha151
Ha 162	DE-Ha162
Ha 163	DE-Ha163
Ha 2	DE-Ha2
Ha 32	DE-Ha32
Ha 33	DE-Ha33
Ha 48	DE-Ha48
Ha 52	DE-Ha52
Ha 55	DE-3-55
Ha 91	DE-Ha91
Ha 93	DE-Ha93
Ha 94	DE-Ha94
Ha 95	DE-Ha95
Haar 1	DE-Haar1
Hag 4	DE-Hag4
Hag 4/2	DE-Hag4-2
Hag 4/3	DE-Hag4-3
Hag 4/4	DE-Hag4-4
Hal 1	DE-Hal1
Hal 2	DE-Hal2
Hal 4	DE-Hal4
Hal 6	DE-Hal6
Ham 1	DE-Ham1
Hav 1	DE-Hav1
Hbg 1	DE-Hbg1
He 43	DE-He43
Hef 1	DE-Hef1
Heg 1	DE-Heg1
Hel 1	DE-Hel1
Hen 2	DE-Hen2
Het 1	DE-Het1
Het 3	DE-Het3
Het 4	DE-Het4
Hf 1	DE-Hf1
Hgn 1	DE-Hgn1
Hil 1	DE-Hil1
Hil 2	DE-Hil2
HIl 3	DE-Hil3
Hil 4	DE-Hil4
Hil 5	DE-Hil5
Hör 1	DE-Hoer1
Hür 1	DE-Huer1
HV 110	DE-Hv110
HV 111	DE-Hv111
HV 112	DE-Hv112
HV 115	DE-Hv115
HV 118	DE-Hv118
HV 119	DE-Hv119
HV 122a	DE-Hv122a
HV 122b	DE-Hv122b
HV 123	DE-Hv123
HV 125	DE-Hv125
HV 126	DE-Hv126
HV 127	DE-Hv127
HV 128	DE-Hv128
HV 129	DE-Hv129
HV 130	DE-Hv130
HV 131	DE-Hv131
HV 133	DE-Hv133
HV 134	DE-Hv134
HV 13	DE-Hv13
HV 14	DE-Hv14
HV 3	DE-Hv3
HV 4	DE-Hv4
HV 8	DE-Hv8
Hw 1	DE-Hw1
Ilm 1	DE-Ilm1
J 120	DE-J120
J 121	DE-J121
J 122	DE-J122
J 123	DE-J123
J 126	DE-J126
J 127	DE-J127
J 128	DE-J128
J 152	DE-J152
J 153	DE-J153
J 159	DE-J159
J 59	DE-J59
J 82	DE-J82
J 83	DE-J83
Je 1	DE-Je1
Jor 1	DE-Jor1
Jül 1	DE-Juel1
Kai 1	DE-Kai1
Ki 95	DE-Ki95
Kn 120	DE-38-418
Kn 125	DE-Kn125
Kn 126	DE-38-406
Kn 133	DE-Kn133
Kn 166	DE-Kn166
Kn 185	DE-Kn185
Kn 195	DE-Kn195
Kn 18	DE-38-429
Kn 28	DE-Kn28
Kn 38	DE-Kn38
Kn 38/AC	DE-Kn38-A
Kn 38/W	DE-Kn38-W
Kn 38/T	DE-Kn38-T
Kn 38/PB	DE-Kn38-PB
Kn 3	DE-Kn3
Kn 41	DE-Kn41
Kn 41/2	DE-Kn41-2
Kn 41/3	DE-Kn41-3
Kn 41/6	DE-Kn41-6
Kn 41/8	DE-Kn41-8
Kn 41/9	DE-Kn41-9
Kn 41/11	DE-Kn41-11
Kn 41/14	DE-Kn41-14
Kn 41/15	DE-Kn41-15
Kn 41/16	DE-Kn41-16
Kn 41/17	DE-Kn41-17
Kn 41/18	DE-Kn41-18
Kn 41/19	DE-Kn41-19
Kn 41/20	DE-Kn41-20
	/
Kn 41/22	DE-Kn41-22
Kn 41/25	DE-Kn41-25
Kn 41/26	DE-Kn41-26
Kn 41/27	DE-Kn41-27
Kn 41/29	DE-Kn41-29
Kn 41/38	DE-Kn41-38
Kn 41/39	DE-Kn41-39
Kn 41/41	DE-Kn41-41
Kn 41/42	DE-Kn41-42
Kn 41/43	DE-Kn41-43
Kn 41/44	DE-Kn41-44
Kn 41/45	DE-Kn41-45
Kn 41/46	DE-Kn41-46
Kn 41/47	DE-Kn41-47
Kn 41/48	DE-Kn41-48
Kn 41/49	DE-Kn41-49
Kn 41/49	DE-Kn41-49
Kn 41/LS1	DE-Kn41-LS1
Kn 41/99	DE-Kn41-99
Kn 55	DE-Kn55
Kob 1	DE-Kob1
Kob 2	DE-Kob2
Kob 3	DE-Kob3
Kob 7	DE-Kob7
Kob 9	DE-Kob9
Kow 1	DE-Kow1
Kow 2	DE-Kow2
Kt 1	DE-Kt1
Kv 1	DE-Kv1
Lan 1	DE-Lan1
Lan 1/I	DE-Lan1-I
Lfn 1	DE-Lfn1
LIN 1b	DE-Lin1b
Li 1	DE-Li1
Lü 12	DE-Lue12
Lün 4	DE-Luen4
M 100	DE-M100
M 113	DE-M113
M 120	DE-M120
M 121	DE-M121
M 122	DE-M122
M 123	DE-M123
M 124	DE-M124
M 135	DE-M135
M 157	DE-M157
M 158a	DE-M158a
M 158	DE-M158
M 17	DE-M17
M 25	DE-M25
M 29	DE-M29
M 336	DE-M336
M 339	DE-M339
M 341	DE-M341
M 347	DE-M347
M 351	DE-M351
M 352	DE-M352
M 357	DE-M357
M 37	DE-M37
M 38	DE-M38
M 39	DE-M39
M 457	DE-M457
M 468	DE-M468
M 472	DE-M472
M 481	DE-M481
M 487	DE-M487
M 488	DE-M488
M 489	DE-M489
M 491	DE-M491
M 492	DE-M492
M 493	DE-M493
M 494	DE-M494
M 495	DE-M495
M 496	DE-M496
M 497	DE-M497
M 498	DE-M498
M 499	DE-M499
M 49	DE-M49
M 500	DE-M500
M 501	DE-M501
M 56	DE-M56
M 5	DE-M5
M 7	DE-M7
Ma 14	DE-Ma14
Ma 45	DE-Ma45
Ma 54	DE-Ma54
Ma 9	DE-Ma9
Marl 2	DE-Marl2
Mb 50	DE-Mb50
Mch 1	DE-Mch1
Mg 2	DE-Mg2
Ml 1	DE-Ml1
Mtl 1	DE-Mtl1
Mü 27	DE-Mue27
Mü 73	DE-Mue73
Mü 78	DE-Mue78
N 26	DE-N26
N 2	DE-N2
N 32	DE-N32
Nek 1	DE-Nek1
Net 1	DE-Net1
Ob 1	DE-Ob1
OTB 1	DE-Otb1
Pn 1	DE-Pn1
Po 75	DE-Po75
Re 5	DE-Re5
Re 6	DE-Re6
Rem 4	DE-Rem4
Rn 1	DE-Rn1
Sie 1	DE-Sie1
Sie 6	DE-Sie6
Se 1	DE-Se1
Sen 1	DE-Sen1
Shm 2	DE-Shm2
Sol 1	DE-Sol1
Sra 5	DE-Sra5
Tr 16	DE-Tr16
Tr 17	DE-Tr17
Tr 18	DE-Tr18
Tr 19	DE-Tr19
Tr 1	DE-Tr1
Tr 20	DE-Tr20
Tr 2	DE-Tr2
Tr 2/LS	DE-Tr2-LS
Tr 3	DE-Tr3
Tr 5	DE-Tr5
Tr 7	DE-Tr7
Va 1	DE-Va1
Ver 1	DE-Ver1
Vln 1	DE-Vln1
W 89	DE-W89
W 90	DE-W90
W 91	DE-W91
Walb 1	DE-Walb1
Wb 12	DE-Wb12
Wim 21	DE-Wim21
Wim 2	DE-Wim2
Wim 8	DE-Wim8
Wis 1	DE-Wis1
Wit 1	DE-Wit1
Wol 5	DE-Wol5
Wrf 1	DE-Wrf1
Wrl 1	DE-Wrl1
WWW 2	DE-WWW2
X 1	DE-X1
Zw 1	DE-Zw1
Zlp 1	DE-Zlp1
1a	DE-1a
1b	DE-1b
1	DE-1
3	DE-3
4	DE-4
294	DE-294
294/10	DE-294-10
294/11	DE-294-11
294/13	DE-294-13
294/14	DE-294-14
294/15	DE-294-15
294/16	DE-294-16
294/17	DE-294-17
294/18	DE-294-18
294/19	DE-294-19
294/20	DE-294-20
294/21	DE-294-21
294/22	DE-294-22
294/23	DE-294-23
294/24	DE-294-24
294/25	DE-294-25
294/26	DE-294-26
294/27	DE-294-27
294/28	DE-294-28
294/29	DE-294-29
294/30	DE-294-30
294/31	DE-294-31
294/32	DE-294-32
294/33	DE-294-33
294/34	DE-294-34
294/35	DE-294-35
294/36	DE-294-36
294/37	DE-294-37
294/38	DE-294-38
294/39	DE-294-39
294/41	DE-294-41
294/42	DE-294-42
294/43	DE-294-43
294/44	DE-294-44
294/45	DE-294-45
294/46	DE-294-46
294/47	DE-294-47
294/48	DE-294-48
294/49	DE-294-49
294/50	DE-294-50
294/51	DE-294-51
294/52	DE-294-52
294/53	DE-294-53
294/54	DE-294-54
294/55	DE-294-55
294/56	DE-294-56
294/57	DE-294-57
294/58	DE-294-58
294/59	DE-294-59
294/60	DE-294-60
294/61	DE-294-61
294/62	DE-294-62
294/63	DE-294-63
294/64	DE-294-64
294/66	DE-294-66
294/67	DE-294-67
294/68	DE-294-68
294/69	DE-294-69
294/70	DE-294-70
294/71	DE-294-71
294/7	DE-294-7
294/8	DE-294-8
294/9	DE-294-9
1383	DE-1383
1383a	DE-1383a
Dm 13	DE-Dm13
Hag 4	DE-Hag4
Bm 1	DE-Bm1
743	DE-743
A 96	DE-A96
1010	DE-1010
Bi 10	DE-Bi10
829	DE-829
836	DE-836
836s	DE-836S
6	DE-6
	<!-- institutsbibs -->
6/001	DE-6-001
6/003	DE-6-003
6/005	DE-6-005
6/006	DE-6-006
6/007	DE-6-007
6/011	DE-6-011
6/015	DE-6-015
6/016	DE-6-016
6/017	DE-6-017
6/019	DE-6-019
6/020	DE-6-020
6/021	DE-6-021
6/022	DE-6-022
6/023	DE-6-023
6/026	DE-6-026
6/028	DE-6-028
6/032	DE-6-032
6/033	DE-6-033
6/034	DE-6-034
6/035	DE-6-035
6/036	DE-6-036
6/037	DE-6-037
6/038	DE-6-038
6/039	DE-6-039
6/040	DE-6-040
6/041	DE-6-041
6/043	DE-6-043
6/044	DE-6-044
6/045	DE-6-045
6/046	DE-6-046
6/047	DE-6-047
6/049	DE-6-049
6/050	DE-6-050
6/052	DE-6-052
6/053	DE-6-053
6/054	DE-6-054
6/055	DE-6-055
6/056	DE-6-056
6/057	DE-6-057
6/058	DE-6-058
6/069	DE-6-069
6/096	DE-6-096
6/097	DE-6-097
6/115	DE-6-115
6/117	DE-6-117
6/118	DE-6-118
6/119	DE-6-119
6/122	DE-6-122
6/123	DE-6-123
6/125	DE-6-125
6/134	DE-6-134
6/135	DE-6-135
6/136	DE-6-136
6/137	DE-6-137
6/139a	DE-6-139a
6/139b	DE-6-139b
6/151	DE-6-151
6/152	DE-6-152
6/153	DE-6-153
6/154	DE-6-154
6/155	DE-6-155
6/156	DE-6-156
6/157	DE-6-157
6/158	DE-6-158
6/161	DE-6-161
6/162	DE-6-162
6/163	DE-6-163
6/164	DE-6-164
6/165	DE-6-165
6/166	DE-6-166
6/168	DE-6-168
6/169	DE-6-169
6/170	DE-6-170
6/171	DE-6-171
6/172	DE-6-172
6/174	DE-6-174
6/175	DE-6-175
6/176	DE-6-176
6/177	DE-6-177
6/178	DE-6-178
6/179	DE-6-179
6/180	DE-6-180
6/181	DE-6-181
6/182	DE-6-182
6/183	DE-6-183
6/184	DE-6-184
6/185	DE-6-185
6/186	DE-6-186
6/187	DE-6-187
6/188	DE-6-188
6/189	DE-6-189
6/190	DE-6-190
6/191	DE-6-191
6/192	DE-6-192
6/193	DE-6-193
6/194	DE-6-194
6/210	DE-6-210
6/211	DE-6-211
6/213	DE-6-213
6/215	DE-6-215
6/216	DE-6-216
6/218	DE-6-218
6/219	DE-6-219
6/220	DE-6-220
6/221	DE-6-221
6/222	DE-6-222
6/223	DE-6-223
6/224	DE-6-224
6/225	DE-6-225
6/227	DE-6-227
6/228	DE-6-228
6/230	DE-6-230
6/231	DE-6-231
6/232	DE-6-232
6/233	DE-6-233
6/234	DE-6-234
6/237	DE-6-237
6/238	DE-6-238
6/239	DE-6-239
6/240	DE-6-240
6/241	DE-6-241
6/242	DE-6-242
6/243	DE-6-243
6/244	DE-6-244
6/245	DE-6-245
6/246	DE-6-246
6/247	DE-6-247
6/248	DE-6-248
6/249	DE-6-249
6/250	DE-6-250
6/251	DE-6-251
6/253	DE-6-253
6/254	DE-6-254
6/255	DE-6-255
6/256	DE-6-256
6/257	DE-6-257
6/258	DE-6-258
6/259	DE-6-259
6/260	DE-6-260
6/262	DE-6-262
6/263	DE-6-263
6/264	DE-6-264
6/266	DE-6-266
6/267	DE-6-267
6/268	DE-6-268
6/269	DE-6-269
6/270	DE-6-270
6/271	DE-6-271
6/272	DE-6-272
6/273	DE-6-273
6/274	DE-6-274
6/275	DE-6-275
6/276	DE-6-276
6/277	DE-6-277
